num,date,mos,mean_temp,min_temp,max_temp,rain,wind,hum,atm,sun,cloud,g_temp,b_eva,s_eva
1,2015-05-01,2783,21,15.9,27.2,,2.5,58.8,1003.3,22.1,0,25.1,3.5,5.2
2,2015-05-02,2783,20.7,15.8,26,0.5,2.1,64.4,1001.7,15.2,7.1,23.7,1.6,2.8
3,2015-05-03,2998,18.3,17.1,19.6,3.5,2.1,90.4,997.2,5.3,8.9,19.7,0.3,0.6
4,2015-05-04,3392,16.1,12.5,20.1,,4.2,45.9,998.9,24.2,1.6,21.2,5.1,6.1
5,2015-05-05,3137,14.2,8.3,19.9,,3.4,37.9,1001.3,25.1,0.1,20.6,4.6,5.7
6,2015-05-06,2849,15.4,9.8,22,,2.4,36.3,1001.6,16.2,6.8,18.5,4.1,4.8
7,2015-05-07,2819,16.5,10.6,24,,2.6,35.6,1002.3,18.9,6,22.4,3.4,5
8,2015-05-08,2926,16.7,11.7,22.7,,2.5,64.3,1002.8,14.5,8.6,21.8,2.5,3
9,2015-05-09,-,17.6,12.6,24,,3,55,1002.7,21.6,4.6,25.1,4,6
10,2015-05-10,-,19.1,13.5,25.9,,2.3,39.6,1006.7,23.4,2.6,25.9,4.6,5.7
11,2015-05-11,-,18.4,14.4,24.1,14,3,62.1,999.2,13.3,8,23.3,1.5,1.8
12,2015-05-12,1713,13.3,10.3,17.5,9.5,6.4,75.9,989.6,12.8,7.4,16.7,2.1,2.8
13,2015-05-13,2323,17.4,11.8,21.4,0,5.3,56.9,993.6,23.4,1.8,19.3,3.7,5.3
14,2015-05-14,5430,20.4,15.3,26.6,,3.3,63.8,996.7,19.2,4.8,22.7,2.7,4.5
15,2015-05-15,8425,19.1,16.3,23.7,,2.7,71,998.7,10.6,6.3,19.8,2.1,2.6
16,2015-05-16,3935,18,11.6,25.2,,3,41.3,1000.1,25.6,0.4,23,4.1,6.1
17,2015-05-17,6276,18.6,11.7,25.2,,2.2,40.4,1000.5,21.2,4.8,22.6,4.8,6
18,2015-05-18,7851,17.7,13.7,22.2,,3.2,53.9,994.9,13.6,8.4,20.1,2.3,3.2
19,2015-05-19,10366,14.8,13,16.2,1,3.6,88.9,996,3.3,9.4,16.7,0.1,0.2
20,2015-05-20,2926,16.3,10.6,21.9,,3.1,60,998.5,24.9,2,22.1,3.8,5.2
21,2015-05-21,16089,18.7,12.6,26,,3.7,50.1,1003.2,24.6,2.5,25,5.1,6.2
22,2015-05-22,3450,20,13.7,27.2,,2.9,45.3,1003.6,24.5,2.9,26.6,5.4,6.5
